New run of the Duchamp sourcefinder: Thu May 17 11:53:14 2007
Executing statement : ./Duchamp -p verification/input3 

---- Parameters ----
Image to be analysed.........................[imageFile]  =  verification/verificationCube.fits
Intermediate Logfile...........................[logFile]  =  verification/log3.txt
Final Results file.............................[outFile]  =  verification/results3.txt
Spectrum file..............................[spectraFile]  =  verification/spectra3.ps
Display a map in a pgplot xwindow?.........[flagXOutput]  =  true
Saving reconstructed cube?.............[flagOutputRecon]  =  false
Saving residuals from reconstruction?..[flagOutputResid]  =  false
------
Trimming Blank Pixels?........................[flagTrim]  =  false
Searching for Negative features?..........[flagNegative]  =  false
Removing Milky Way channels?....................[flagMW]  =  false
Beam Size (pixels)......................................  =  10.1788
Removing baselines before search?.........[flagBaseline]  =  false
Smoothing each spectrum first?..............[flagSmooth]  =  false
Using A Trous reconstruction?...............[flagATrous]  =  true
Number of dimensions in reconstruction........[reconDim]  =  1
Minimum scale in reconstruction...............[scaleMin]  =  1
SNR Threshold within reconstruction...........[snrRecon]  =  3
Filter being used for reconstruction........[filterCode]  =  1 (B3 spline function)
Using FDR analysis?............................[flagFDR]  =  false
SNR Threshold (in sigma)........................[snrCut]  =  3
Minimum # Pixels in a detection.................[minPix]  =  2
Minimum # Channels in a detection..........[minChannels]  =  2
Growing objects after detection?............[flagGrowth]  =  false
Using Adjacent-pixel criterion?...........[flagAdjacent]  =  true
Max. velocity separation for merging....[threshVelocity]  =  7
Method of spectral plotting.............[spectralMethod]  =  peak
Type of object centre used in results......[pixelCentre]  =  centroid
--------------------

--------------------------------------------------------------------------------
 Obj#     X     Y     Z     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix
                        [Jy/beam] [Jy/beam]                                [pix]
--------------------------------------------------------------------------------
   78   5.0  74.0  85.0     3.495     3.495   3.59   5   5  74  74  85  85     1
   79  19.0  76.0  85.0     4.024     4.024   4.13  19  19  76  76  85  85     1
   80  24.0  81.0  85.0     5.275     5.275   5.42  24  24  81  81  85  85     1
   81  85.0  32.0  87.0     3.391     3.391   3.48  85  85  32  32  87  87     1
   82   9.0  42.0  87.0     3.874     3.874   3.98   9   9  42  42  87  87     1
   83  67.0  94.0  87.0     4.070     4.070   4.18  67  67  94  94  87  87     1
   84  20.0  81.0  89.0     4.956     4.956   5.09  20  20  81  81  89  89     1
   85  68.0  25.0  90.0     3.569     3.569   3.66  68  68  25  25  90  90     1
   86  76.0  69.0  91.0     4.288     4.288   4.40  76  76  69  69  91  91     1
   87  88.0  70.0  94.0     3.785     3.785   3.88  88  88  70  70  94  94     1
   88  16.0  31.0  95.0     3.772     3.772   3.87  16  16  31  31  95  95     1
   89  25.1  75.1  86.0  3351.403    10.445  10.75  20  30  70  79  80  96   641
   90  77.0  81.0  97.0     3.023     3.023   3.10  77  77  81  81  97  97     1
   91  16.0   5.0  98.0     3.277     3.277   3.36  16  16   5   5  98  98     1
   92  15.0  76.0  98.0     3.079     3.079   3.16  15  15  76  76  98  98     1
   93  25.0  67.0  99.0     3.379     3.379   3.47  25  25  67  67  99  99     1
   94   6.0  15.0 100.0     4.186     4.186   4.30   6   6  15  15 100 100     1
   95  74.0  58.0 102.0     3.988     3.988   4.09  74  74  58  58 102 102     1
   96  50.0  81.0 104.0     3.484     3.484   3.57  50  50  81  81 104 104     1
   97  94.0   2.0 106.0     3.328     3.328   3.41  94  94   2   2 106 106     1
   98  85.0  10.0 107.0     3.015     3.015   3.09  85  85  10  10 107 107     1
